"nameWithOwner","stars__totalCount","createdAt","contributors","metrics__metric","metrics__value","metrics__bestValue"
"","","","","files","67",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","716",""
"","","","","violations","8","False"
"","","","","functions","165",""
"","","","","comment_lines","651",""
"","","","","comment_lines_density","18.6","False"
"","","","","complexity","316",""
"","","","","code_smells","8","False"
"","","","","ncloc_language_distribution","java=78;kotlin=2249;xml=525",""
"","","","","lines","3441",""
"AllanWang/Frost-for-Facebook","265","2017-05-29T04:17:23Z","6","functions","668",""
"","","","","comment_lines","4440",""
"","","","","complexity","1272",""
"","","","","violations","170","False"
"","","","","code_smells","169","False"
"","","","","ncloc","22336",""
"","","","","files","658",""
"","","","","ncloc_language_distribution","css=386;java=34;kotlin=12160;web=53;xml=9703",""
"","","","","comment_lines_density","16.6","False"
"","","","","statements","4169",""
"","","","","lines","28406",""
"","","","","sqale_rating","1.0","True"
"rubygarage/emotion-rating-view","265","2018-06-08T12:57:16Z","3","ncloc","1612",""
"","","","","ncloc_language_distribution","kotlin=362;xml=1250",""
"","","","","functions","21",""
"","","","","code_smells","2","False"
"","","","","files","73",""
"","","","","comment_lines","1",""
"","","","","lines","1867",""
"","","","","statements","126",""
"","","","","complexity","88",""
"","","","","comment_lines_density","0.1","False"
"","","","","violations","2","False"
"","","","","sqale_rating","1.0","True"
"general-mobile/kotlin-android-mvp-starter","264","2017-05-22T10:18:10Z","2","comment_lines","8",""
"","","","","ncloc","191",""
"","","","","ncloc_language_distribution","py=50;xml=141",""
"","","","","files","29",""
"","","","","code_smells","1","False"
"","","","","comment_lines_density","4.0","False"
"","","","","functions","1",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","628",""
"","","","","complexity","10",""
"","","","","statements","49",""
"","","","","violations","1","False"
"skydoves/Submarine","264","2019-06-28T13:20:27Z","2","ncloc_language_distribution","kotlin=950;xml=480",""
"","","","","functions","66",""
"","","","","violations","0","True"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","1430",""
"","","","","lines","1950",""
"","","","","files","37",""
"","","","","statements","381",""
"","","","","code_smells","0","True"
"","","","","complexity","133",""
"","","","","comment_lines","373",""
"","","","","comment_lines_density","20.7","False"
"isuPatches/WiseFy","263","2016-04-26T20:09:48Z","4","ncloc_language_distribution","css=226;java=73;kotlin=20851;web=10069;xml=1066",""
"","","","","functions","2008",""
"","","","","complexity","2529",""
"","","","","ncloc","32285",""
"","","","","comment_lines_density","20.9","False"
"","","","","lines","39376",""
"","","","","files","424",""
"","","","","statements","6342",""
"","","","","violations","1644","False"
"","","","","code_smells","1443","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","8542",""
"kwebio/kweb-core","263","2017-01-08T02:18:02Z","8","ncloc_language_distribution","js=24;kotlin=3777;web=291;xml=28",""
"","","","","lines","5247",""
"","","","","statements","1501",""
"","","","","comment_lines","491",""
"","","","","comment_lines_density","10.6","False"
"","","","","code_smells","51","False"
"","","","","complexity","422",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","306",""
"","","","","violations","52","False"
"","","","","files","66",""
"","","","","ncloc","4120",""
"nex3z/NotificationBadge","263","2016-12-07T13:25:25Z","2","comment_lines_density","13.6","False"
"","","","","files","2",""
"","","","","ncloc_language_distribution","java=15;xml=4",""
"","","","","statements","2",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","19",""
"","","","","comment_lines","3",""
"","","","","functions","1",""
"","","","","violations","1","False"
"","","","","code_smells","1","False"
"","","","","complexity","1",""
"","","","","lines","34",""
"gojuno/koptional","261","2017-05-31T13:47:16Z","9","statements","234",""
"","","","","functions","12",""
"","","","","files","7",""
"","","","","complexity","14",""
"","","","","sqale_rating","1.0","True"
"","","","","violations","6","False"
"","","","","lines","784",""
"","","","","comment_lines","146",""
"","","","","ncloc_language_distribution","java=29;kotlin=588",""
"","","","","comment_lines_density","19.1","False"
"","","","","code_smells","6","False"
"","","","","ncloc","617",""
"bernaferrari/GradleKotlinConverter","261","2019-01-04T17:10:23Z","3","code_smells","0","True"
"","","","","sqale_rating","1.0","True"
"","","","","violations","0","True"
"MixinNetwork/android-app","261","2018-04-27T04:33:24Z","7","ncloc","85181",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","1.9","False"
"","","","","functions","4229",""
"","","","","comment_lines","1647",""
"","","","","files","1246",""
"","","","","statements","25953",""
"","","","","complexity","10174",""
"","","","","code_smells","793","False"
"","","","","violations","860","False"
"","","","","ncloc_language_distribution","java=9965;kotlin=56484;web=29;xml=18703",""
"","","","","lines","98466",""
"MenosGrante/Rekado","261","2018-07-02T14:51:24Z","9","comment_lines","129",""
"","","","","code_smells","1","False"
"","","","","files","114",""
"","","","","complexity","230",""
"","","","","lines","4489",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","3666",""
"","","","","statements","531",""
"","","","","ncloc_language_distribution","kotlin=1503;xml=2163",""
"","","","","comment_lines_density","3.4","False"
"","","","","functions","140",""
"","","","","violations","1","False"
"Plastix/Kotlin-Android-Boilerplate","261","2016-08-12T11:22:35Z","2","files","59",""
"","","","","functions","131",""
"","","","","comment_lines_density","2.7","False"
"","","","","lines","1957",""
"","","","","statements","285",""
"","","","","complexity","142",""
"","","","","comment_lines","42",""
"","","","","code_smells","24","False"
"","","","","ncloc","1512",""
"","","","","violations","24","False"
"","","","","ncloc_language_distribution","kotlin=1123;xml=389",""
"","","","","sqale_rating","1.0","True"
"mozilla-mobile/reference-browser","261","2018-10-02T12:00:13Z","29","violations","117","False"
"","","","","ncloc_language_distribution","css=119;js=6649;kotlin=4013;py=1411;web=125;xml=505",""
"","","","","lines","17948",""
"","","","","comment_lines_density","16.2","False"
"","","","","comment_lines","2479",""
"","","","","functions","1041",""
"","","","","statements","5275",""
"","","","","code_smells","100","False"
"","","","","ncloc","12822",""
"","","","","files","135",""
"","","","","complexity","3365",""
"","","","","sqale_rating","1.0","True"
"SimonMarquis/InternalAppStore","261","2018-04-28T10:27:38Z","1","comment_lines_density","4.1","False"
"","","","","statements","2619",""
"","","","","ncloc_language_distribution","css=58;js=1998;kotlin=3496;web=295;xml=1143",""
"","","","","functions","520",""
"","","","","lines","8066",""
"","","","","files","97",""
"","","","","complexity","1145",""
"","","","","code_smells","52","False"
"","","","","violations","70","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","6990",""
"","","","","comment_lines","300",""
"nekocode/Items","260","2016-08-17T15:32:55Z","1","violations","4","False"
"","","","","complexity","138",""
"","","","","comment_lines","197",""
"","","","","functions","78",""
"","","","","comment_lines_density","11.8","False"
"","","","","code_smells","4","False"
"","","","","lines","2101",""
"","","","","files","36",""
"","","","","ncloc_language_distribution","java=303;kotlin=926;xml=243",""
"","","","","statements","326",""
"","","","","ncloc","1472",""
"","","","","sqale_rating","1.0","True"
"StevenDXC/DxLoadingButton","260","2016-10-13T05:55:22Z","4","statements","423",""
"","","","","comment_lines","42",""
"","","","","comment_lines_density","3.8","False"
"","","","","lines","1292",""
"","","","","code_smells","12","False"
"","","","","violations","12","False"
"","","","","ncloc","1060",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=48;kotlin=791;xml=221",""
"","","","","functions","42",""
"","","","","files","21",""
"","","","","complexity","105",""
"ernestoyaquello/DragDropSwipeRecyclerview","259","2018-10-16T18:35:40Z","2","files","62",""
"","","","","comment_lines_density","14.2","False"
"","","","","lines","4637",""
"","","","","statements","712",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","3793",""
"","","","","functions","178",""
"","","","","comment_lines","628",""
"","","","","ncloc_language_distribution","kotlin=2711;xml=1082",""
"","","","","complexity","442",""
"","","","","violations","9","False"
"","","","","code_smells","9","False"
"ihsg/PatternLocker","259","2017-09-19T14:02:58Z","1","code_smells","32","False"
"","","","","comment_lines","210",""
"","","","","comment_lines_density","9.7","False"
"","","","","functions","142",""
"","","","","statements","547",""
"","","","","files","50",""
"","","","","complexity","221",""
"","","","","ncloc_language_distribution","java=255;kotlin=1258;xml=434",""
"","","","","lines","2458",""
"","","","","violations","44","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","1947",""
"vitorhugods/AvatarView","259","2018-09-21T11:03:12Z","2","ncloc_language_distribution","kotlin=694;xml=1049",""
"","","","","ncloc","1743",""
"","","","","violations","2","False"
"","","","","lines","1941",""
"","","","","comment_lines_density","5.7","False"
"","","","","complexity","71",""
"","","","","comment_lines","105",""
"","","","","statements","270",""
"","","","","code_smells","2","False"
"","","","","functions","40",""
"","","","","files","28",""
"","","","","sqale_rating","1.0","True"
"coder-pig/WechatHelper","259","2018-04-04T06:11:02Z","1","complexity","110",""
"","","","","violations","29","False"
"","","","","files","19",""
"","","","","statements","183",""
"","","","","comment_lines_density","6.0","False"
"","","","","ncloc_language_distribution","java=58;kotlin=380;xml=372",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","29","False"
"","","","","lines","937",""
"","","","","functions","26",""
"","","","","comment_lines","52",""
"","","","","ncloc","810",""
"gothinkster/kotlin-spring-realworld-example-app","258","2017-05-16T21:55:55Z","4","comment_lines","63",""
"","","","","statements","282",""
"","","","","code_smells","13","False"
"","","","","ncloc_language_distribution","kotlin=1099;xml=167",""
"","","","","functions","60",""
"","","","","ncloc","1266",""
"","","","","comment_lines_density","4.7","False"
"","","","","sqale_rating","1.0","True"
"","","","","files","44",""
"","","","","violations","13","False"
"","","","","lines","1530",""
"","","","","complexity","106",""
"holgerbrandl/krangl","256","2016-05-16T09:55:34Z","10","violations","1074","False"
"","","","","comment_lines","1596",""
"","","","","ncloc_language_distribution","css=352;java=52;kotlin=4854;web=14391",""
"","","","","code_smells","708","False"
"","","","","files","396",""
"","","","","complexity","1116",""
"","","","","functions","343",""
"","","","","statements","2374",""
"","","","","lines","23347",""
"","","","","comment_lines_density","7.5","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","19649",""
"msink/kotlin-libui","255","2018-05-12T10:15:44Z","5","files","43",""
"","","","","violations","54","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","17.2","False"
"","","","","lines","5828",""
"","","","","code_smells","54","False"
"","","","","comment_lines","947",""
"","","","","complexity","467",""
"","","","","functions","287",""
"","","","","ncloc","4546",""
"","","","","ncloc_language_distribution","java=1;kotlin=4545",""
"","","","","statements","1310",""
"pwittchen/RxBiometric","254","2018-08-15T09:44:33Z","3","statements","61",""
"","","","","functions","30",""
"","","","","ncloc","721",""
"","","","","code_smells","5","False"
"","","","","comment_lines","232",""
"","","","","complexity","34",""
"","","","","ncloc_language_distribution","kotlin=291;xml=430",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","1058",""
"","","","","violations","5","False"
"","","","","files","29",""
"","","","","comment_lines_density","24.3","False"
"Blankeer/WechatBotXposed","254","2018-05-09T16:07:58Z","1","functions","13",""
"","","","","complexity","20",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","7","False"
"","","","","lines","562",""
"","","","","ncloc_language_distribution","kotlin=219;xml=269",""
"","","","","comment_lines_density","7.8","False"
"","","","","statements","61",""
"","","","","comment_lines","41",""
"","","","","files","19",""
"","","","","ncloc","488",""
"","","","","violations","7","False"
"AdevintaSpain/Protein","254","2018-10-02T12:32:54Z","3","lines","1222",""
"","","","","ncloc","1039",""
"","","","","comment_lines_density","0.5","False"
"","","","","comment_lines","5",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","60",""
"","","","","files","20",""
"","","","","statements","181",""
"","","","","complexity","96",""
"","","","","code_smells","30","False"
"","","","","violations","35","False"
"","","","","ncloc_language_distribution","java=397;kotlin=558;web=25;xml=59",""
"riggaroo/ConstraintLayoutDemo","254","2017-08-10T18:49:43Z","1","files","54",""
"","","","","complexity","28",""
"","","","","code_smells","9","False"
"","","","","ncloc","2351",""
"","","","","comment_lines_density","1.8","False"
"","","","","sqale_rating","1.0","True"
"","","","","violations","9","False"
"","","","","lines","2634",""
"","","","","statements","109",""
"","","","","ncloc_language_distribution","kotlin=333;xml=2018",""
"","","","","comment_lines","42",""
"","","","","functions","25",""
"wanglu1209/WPopup","252","2018-08-29T06:57:10Z","1","violations","32","False"
"","","","","comment_lines_density","10.9","False"
"","","","","code_smells","32","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=571;kotlin=1421;xml=666",""
"","","","","statements","788",""
"","","","","files","50",""
"","","","","functions","165",""
"","","","","comment_lines","324",""
"","","","","complexity","332",""
"","","","","ncloc","2658",""
"","","","","lines","3375",""
"temyco/security-workshop-sample","252","2017-08-21T17:04:42Z","3","ncloc","3634",""
"","","","","violations","25","False"
"","","","","lines","4637",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","25","False"
"","","","","complexity","504",""
"","","","","ncloc_language_distribution","kotlin=2965;xml=669",""
"","","","","comment_lines_density","9.6","False"
"","","","","statements","1130",""
"","","","","files","68",""
"","","","","functions","330",""
"","","","","comment_lines","387",""
"Litote/kmongo","250","2016-05-16T20:18:45Z","8","statements","6750",""
"","","","","ncloc","34271",""
"","","","","functions","1719",""
"","","","","lines","46039",""
"","","","","ncloc_language_distribution","java=17;kotlin=31491;xml=2763",""
"","","","","comment_lines","15983",""
"","","","","complexity","2282",""
"","","","","code_smells","359","False"
"","","","","files","440",""
"","","","","comment_lines_density","31.8","False"
"","","","","sqale_rating","1.0","True"
"","","","","violations","361","False"
"amanjeetsingh150/RxAnime","250","2018-12-01T15:51:40Z","2","functions","68",""
"","","","","statements","291",""
"","","","","comment_lines","22",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","1.8","False"
"","","","","complexity","154",""
"","","","","code_smells","12","False"
"","","","","violations","12","False"
"","","","","lines","1335",""
"","","","","ncloc","1178",""
"","","","","ncloc_language_distribution","kotlin=697;xml=481",""
"","","","","files","28",""
"Beepiz/BleGattCoroutines","247","2017-12-26T11:27:32Z","3","complexity","115",""
"","","","","files","52",""
"","","","","violations","7","False"
"","","","","code_smells","7","False"
"","","","","sqale_rating","1.0","True"
"","","","","lines","2622",""
"","","","","statements","352",""
"","","","","functions","50",""
"","","","","ncloc","2304",""
"","","","","ncloc_language_distribution","kotlin=1959;xml=345",""
"","","","","comment_lines","384",""
"","","","","comment_lines_density","14.3","False"
"santalu/diagonal-imageview","247","2017-08-09T05:57:57Z","1","functions","22",""
"","","","","statements","187",""
"","","","","comment_lines","19",""
"","","","","code_smells","1","False"
"","","","","sqale_rating","1.0","True"
"","","","","files","22",""
"","","","","ncloc","895",""
"","","","","complexity","43",""
"","","","","ncloc_language_distribution","kotlin=416;xml=479",""
"","","","","violations","1","False"
"","","","","comment_lines_density","2.1","False"
"","","","","lines","1013",""
"nanchen2251/ScreenRecordHelper","246","2019-06-21T09:55:41Z","1","sqale_rating","1.0","True"
"","","","","ncloc","872",""
"","","","","files","24",""
"","","","","lines","988",""
"","","","","ncloc_language_distribution","java=24;kotlin=449;xml=399",""
"","","","","complexity","56",""
"","","","","statements","217",""
"","","","","comment_lines","54",""
"","","","","functions","27",""
"","","","","comment_lines_density","5.8","False"
"","","","","violations","5","False"
"","","","","code_smells","5","False"
"pardom-zz/redux-kotlin","246","2016-07-13T13:48:54Z","2","ncloc","390",""
"","","","","comment_lines","143",""
"","","","","violations","3","False"
"","","","","ncloc_language_distribution","kotlin=390",""
"","","","","files","9",""
"","","","","comment_lines_density","26.8","False"
"","","","","lines","619",""
"","","","","code_smells","3","False"
"","","","","functions","16",""
"","","","","complexity","20",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","155",""
"imablanco/Parallax","246","2017-07-17T20:38:44Z","1","complexity","42",""
"","","","","comment_lines_density","10.6","False"
"","","","","ncloc","624",""
"","","","","violations","9","False"
"","","","","code_smells","9","False"
"","","","","ncloc_language_distribution","java=33;kotlin=304;xml=287",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","29",""
"","","","","statements","92",""
"","","","","files","24",""
"","","","","comment_lines","74",""
"","","","","lines","777",""
"charleskorn/batect","243","2017-09-06T19:01:32Z","8","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","css=2558;java=14;kotlin=34838;py=406;web=32",""
"","","","","complexity","1863",""
"","","","","comment_lines_density","15.0","False"
"","","","","lines","52963",""
"","","","","code_smells","598","False"
"","","","","functions","977",""
"","","","","statements","17866",""
"","","","","comment_lines","6658",""
"","","","","files","444",""
"","","","","ncloc","37848",""
"","","","","violations","603","False"
"divyanshub024/AndroidDraw","242","2018-05-17T16:34:39Z","3","functions","59",""
"","","","","ncloc","1280",""
"","","","","statements","317",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","21",""
"","","","","comment_lines_density","1.6","False"
"","","","","violations","7","False"
"","","","","lines","1493",""
"","","","","code_smells","7","False"
"","","","","complexity","92",""
"","","","","ncloc_language_distribution","java=24;kotlin=662;xml=594",""
"","","","","files","53",""
"gahfy/MVVMPosts","242","2018-06-24T16:23:05Z","2","functions","26",""
"","","","","violations","1","False"
"","","","","complexity","38",""
"","","","","ncloc_language_distribution","kotlin=391;xml=314",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","796",""
"","","","","ncloc","705",""
"","","","","files","27",""
"","","","","comment_lines","55",""
"","","","","statements","67",""
"","","","","comment_lines_density","7.2","False"
"","","","","code_smells","1","False"
"netguru/Kissme","242","2018-11-02T14:11:15Z","6","violations","0","True"
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","0","True"
"ligi/IPFSDroid","241","2016-04-27T08:09:10Z","3","files","32",""
"","","","","statements","289",""
"","","","","functions","63",""
"","","","","violations","8","False"
"","","","","code_smells","8","False"
"","","","","complexity","108",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","1049",""
"","","","","ncloc_language_distribution","java=84;kotlin=646;xml=319",""
"","","","","comment_lines_density","0.9","False"
"","","","","comment_lines","10",""
"","","","","lines","1326",""
"plnice/can-i-drop-jetifier","239","2019-02-03T15:22:28Z","3","statements","94",""
"","","","","ncloc","467",""
"","","","","violations","3","False"
"","","","","comment_lines","24",""
"","","","","code_smells","3","False"
"","","","","sqale_rating","1.0","True"
"","","","","functions","8",""
"","","","","complexity","24",""
"","","","","lines","560",""
"","","","","comment_lines_density","4.9","False"
"","","","","ncloc_language_distribution","kotlin=296;xml=171",""
"","","","","files","20",""
"DanluTeam/ColdStart","239","2018-05-04T08:51:37Z","1","ncloc_language_distribution","kotlin=107;xml=318",""
"","","","","lines","451",""
"","","","","comment_lines_density","4.3","False"
"","","","","files","9",""
"","","","","ncloc","425",""
"","","","","statements","37",""
"","","","","complexity","13",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","2","False"
"","","","","functions","6",""
"","","","","violations","2","False"
"","","","","comment_lines","19",""
"fabioCollini/ArchitectureComponentsDemo","237","2017-06-13T18:58:49Z","1","lines","3980",""
"","","","","ncloc_language_distribution","kotlin=2147;xml=500",""
"","","","","statements","591",""
"","","","","code_smells","3","False"
"","","","","files","106",""
"","","","","violations","3","False"
"","","","","functions","135",""
"","","","","comment_lines","653",""
"","","","","comment_lines_density","19.8","False"
"","","","","complexity","187",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","2647",""
"ExpediaGroup/graphql-kotlin","237","2018-09-13T22:41:30Z","15","code_smells","402","False"
"","","","","comment_lines_density","28.0","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","12791",""
"","","","","ncloc_language_distribution","java=65;js=15;kotlin=11456;web=154;xml=1101",""
"","","","","lines","19855",""
"","","","","files","267",""
"","","","","statements","3571",""
"","","","","complexity","1156",""
"","","","","functions","936",""
"","","","","violations","404","False"
"","","","","comment_lines","4981",""
"yusufcakmak/ExoPlayerSample","237","2016-11-10T21:37:09Z","3","ncloc","530",""
"","","","","functions","12",""
"","","","","statements","44",""
"","","","","files","23",""
"","","","","complexity","16",""
"","","","","comment_lines","22",""
"","","","","comment_lines_density","4.0","False"
"","","","","ncloc_language_distribution","java=24;kotlin=119;xml=387",""
"","","","","violations","3","False"
"","","","","lines","683",""
"","","","","code_smells","3","False"
"","","","","sqale_rating","1.0","True"
"joaquim-verges/Helium","237","2018-03-23T21:04:58Z","3","complexity","194",""
"","","","","code_smells","1","False"
"","","","","comment_lines_density","10.2","False"
"","","","","violations","1","False"
"","","","","ncloc","3282",""
"","","","","files","134",""
"","","","","functions","134",""
"","","","","lines","3848",""
"","","","","comment_lines","372",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","444",""
"","","","","ncloc_language_distribution","kotlin=2309;xml=973",""
"UCodeUStory/Relax","236","2018-08-27T03:47:51Z","1","files","235",""
"","","","","comment_lines","1014",""
"","","","","lines","8922",""
"","","","","violations","150","False"
"","","","","statements","1158",""
"","","","","comment_lines_density","13.6","False"
"","","","","ncloc","6459",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","128","False"
"","","","","ncloc_language_distribution","java=1188;kotlin=3711;xml=1560",""
"","","","","functions","412",""
"","","","","complexity","564",""
"kymjs/KotlinPrimer","236","2018-06-05T14:51:35Z","1","code_smells","100","False"
"","","","","functions","205",""
"","","","","complexity","299",""
"","","","","ncloc","3831",""
"","","","","ncloc_language_distribution","java=366;kotlin=1709;web=95;xml=1661",""
"","","","","statements","656",""
"","","","","lines","4682",""
"","","","","comment_lines_density","7.1","False"
"","","","","files","154",""
"","","","","comment_lines","293",""
"","","","","violations","119","False"
"","","","","sqale_rating","1.0","True"
"trivago/Heimdall.droid","236","2015-02-09T09:17:37Z","9","ncloc_language_distribution","java=542;kotlin=642;xml=135",""
"","","","","code_smells","27","False"
"","","","","complexity","106",""
"","","","","statements","286",""
"","","","","ncloc","1319",""
"","","","","lines","2045",""
"","","","","comment_lines","394",""
"","","","","comment_lines_density","23.0","False"
"","","","","files","44",""
"","","","","functions","73",""
"","","","","violations","31","False"
"","","","","sqale_rating","1.0","True"
"jahirfiquitiva/Blueprint","236","2017-05-13T14:40:53Z","3","sqale_rating","1.0","True"
"","","","","violations","9","False"
"","","","","comment_lines","899",""
"","","","","files","35",""
"","","","","ncloc_language_distribution","kotlin=71;xml=1059",""
"","","","","lines","2318",""
"","","","","ncloc","1130",""
"","","","","code_smells","9","False"
"","","","","statements","9",""
"","","","","functions","8",""
"","","","","complexity","9",""
"","","","","comment_lines_density","44.3","False"
"ScaleChain/scalechain","235","2015-11-01T07:52:07Z","1","ncloc_language_distribution","java=887;kotlin=34050;xml=47",""
"","","","","code_smells","789","False"
"","","","","files","554",""
"","","","","complexity","2617",""
"","","","","lines","50222",""
"","","","","comment_lines","14137",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","28.8","False"
"","","","","statements","9785",""
"","","","","ncloc","34984",""
"","","","","functions","1670",""
"","","","","violations","795","False"
"JavaEden/Orchid","235","2016-12-16T16:03:23Z","8","ncloc_language_distribution","css=22464;java=12753;js=2486;kotlin=24317;py=6;web=15;xml=63",""
"","","","","complexity","5241",""
"","","","","violations","909","False"
"","","","","files","808",""
"","","","","lines","78512",""
"","","","","ncloc","62104",""
"","","","","functions","2952",""
"","","","","comment_lines","3739",""
"","","","","code_smells","811","False"
"","","","","statements","12954",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","5.7","False"
"BijoySingh/Scarlet-Notes","234","2016-05-04T17:26:30Z","10","functions","1297",""
"","","","","statements","6922",""
"","","","","violations","119","False"
"","","","","code_smells","96","False"
"","","","","ncloc_language_distribution","java=506;kotlin=19931;xml=10770",""
"","","","","lines","35815",""
"","","","","ncloc","31207",""
"","","","","comment_lines_density","2.0","False"
"","","","","comment_lines","631",""
"","","","","sqale_rating","1.0","True"
"","","","","files","398",""
"","","","","complexity","2717",""
"czp3009/bilibili-api","234","2017-11-07T08:49:28Z","1","ncloc","9999",""
"","","","","ncloc_language_distribution","java=88;kotlin=9790;xml=121",""
"","","","","files","113",""
"","","","","lines","11032",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","105","False"
"","","","","violations","105","False"
"","","","","complexity","131",""
"","","","","functions","55",""
"","","","","comment_lines_density","24.5","False"
"","","","","comment_lines","3241",""
"","","","","statements","491",""
"actions-on-google/actions-on-google-java","233","2019-01-15T18:52:58Z","7","ncloc","7290",""
"","","","","comment_lines","1723",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","19.1","False"
"","","","","functions","403",""
"","","","","statements","2583",""
"","","","","violations","27","False"
"","","","","code_smells","27","False"
"","","","","ncloc_language_distribution","kotlin=6926;xml=364",""
"","","","","files","48",""
"","","","","complexity","702",""
"","","","","lines","9060",""
"wajahatkarim3/EasyValidation","233","2018-04-30T12:54:53Z","5","sqale_rating","1.0","True"
"","","","","files","74",""
"","","","","complexity","918",""
"","","","","ncloc","11623",""
"","","","","ncloc_language_distribution","java=48;kotlin=11120;xml=455",""
"","","","","code_smells","7","False"
"","","","","functions","140",""
"","","","","lines","13955",""
"","","","","comment_lines_density","3.2","False"
"","","","","statements","4336",""
"","","","","comment_lines","390",""
"","","","","violations","7","False"
"MindorksOpenSource/EditDrawableText","233","2018-07-04T06:16:05Z","3","code_smells","9","False"
"","","","","files","21",""
"","","","","comment_lines_density","5.5","False"
"","","","","statements","85",""
"","","","","complexity","50",""
"","","","","violations","9","False"
"","","","","ncloc_language_distribution","java=24;kotlin=243;xml=332",""
"","","","","ncloc","599",""
"","","","","functions","22",""
"","","","","lines","706",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","35",""
"adibfara/WatchTower","233","2018-12-28T13:46:59Z","2","comment_lines","117",""
"","","","","violations","64","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","6.2","False"
"","","","","ncloc","1777",""
"","","","","code_smells","57","False"
"","","","","ncloc_language_distribution","css=577;java=16;js=208;kotlin=900;web=76",""
"","","","","statements","432",""
"","","","","lines","2246",""
"","","","","files","16",""
"","","","","functions","83",""
"","","","","complexity","125",""
"majorkik/SparkLineLayout","231","2019-07-20T16:13:51Z","1","statements","171",""
"","","","","ncloc","1223",""
"","","","","comment_lines","57",""
"","","","","violations","5","False"
"","","","","ncloc_language_distribution","kotlin=547;xml=676",""
"","","","","lines","1407",""
"","","","","files","26",""
"","","","","comment_lines_density","4.5","False"
"","","","","sqale_rating","1.0","True"
"","","","","complexity","58",""
"","","","","code_smells","5","False"
"","","","","functions","27",""
"xdrop/night-owl-jetbrains","231","2018-06-01T14:57:25Z","4","ncloc_language_distribution","kotlin=479;web=94;xml=30356",""
"","","","","complexity","80",""
"","","","","lines","31077",""
"","","","","statements","143",""
"","","","","code_smells","1","False"
"","","","","files","31",""
"","","","","functions","53",""
"","","","","ncloc","30929",""
"","","","","violations","3","False"
"","","","","comment_lines_density","0.0","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","4",""
"Hankkin/PageLayoutDemo","231","2018-09-06T16:08:25Z","1","comment_lines","145",""
"","","","","comment_lines_density","7.3","False"
"","","","","files","53",""
"","","","","complexity","151",""
"","","","","statements","407",""
"","","","","code_smells","27","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=496;kotlin=564;xml=791",""
"","","","","lines","2394",""
"","","","","functions","88",""
"","","","","violations","27","False"
"","","","","ncloc","1851",""
"vanniktech/gradle-maven-publish-plugin","231","2018-05-25T19:40:02Z","14","ncloc","662",""
"","","","","statements","206",""
"","","","","code_smells","4","False"
"","","","","comment_lines_density","8.4","False"
"","","","","violations","4","False"
"","","","","ncloc_language_distribution","java=18;kotlin=644",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","839",""
"","","","","complexity","59",""
"","","","","files","15",""
"","","","","comment_lines","61",""
"","","","","functions","47",""
"discordapp/SimpleAST","230","2018-03-16T00:47:40Z","6","functions","92",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","1710",""
